material,gLen_µm,freq_Ghz,gain_dB,noise_dB,Pdc_mW,bandwidth_GHz,lna_arch
GaN ,0.15,45,18,3,96,10,4stage
GaN ,0.07,140,10,7,100,60,Distributed
GaN,0.15,10,28,0.9,120,4,3stageCS
GaN ,0.15,5.8,18,1.4,75,1,null
GaN ,0.1,75,15,4.75,null,30,Distributed
GaN ,0.25,3.1,19,1,100,0.8,2stage
GaN ,0.15,24,22.5,2,60,4,3stage
GaN ,0.1,77,20,3.8,90,10,4stage
GaN,0.15,18,15,1.9,100,4,2stage
GaN ,0.25,1.5,18,1,112,1.2,null
GaN ,0.15,44,15.6,3,70,6,3stage
GaN ,0.05,103,16,4.5,75,22,3stage
GaN,0.2,4.9,17,1.3,null,0.8,2stage
GaN ,0.15,15,13,2,150,10,Distributed
GaN ,0.15,35,20,2.1,100,4,3stage
GaN ,0.25,2.4,16.5,0.95,84,0.4,Singlestage
GaN ,0.1,75,14,4.6,120,16,3stage
GaN ,0.15,6.25,10,2.75,null,11.5,Distributed
GaN,0.1,58.5,18,3.4,100,17,4stage
GaN ,0.25,1.6,21.2,0.8,126,null,2stage
GaN ,0.15,11,11,2.8,null,18,Distributed
GaN ,0.25,2,20,0.8,140,null,Singlestage
GaN ,0.07,110,15,5.5,80,15,3stage
GaN ,0.15,33,18.5,2.5,125,14,3stage
GaN,0.25,1.2,22.8,0.7,168,null,2stage
GaN ,0.15,22,20,2.1,130,8,3stage
GaN ,0.15,3.45,22,1.1,84,0.4,null
GaN ,0.1,102.5,14,5.5,95,15,3stage
GaN ,0.15,9,12,2.3,null,14,Distributed
GaN,0.15,38,20,2.4,100,6,4stage
GaN ,0.25,5,16.5,1.25,98,1,null
GaN ,0.1,70,15,3.8,100,10,3stage
GaN ,0.15,30,28,1.8,160,5,4stage
GaN ,0.07,87.5,16,4.85,110,25,4stage
GaN,0.2,8,19,1.1,150,2,2stage
GaN ,0.15,12,23.5,1,120,2,3stage
GaN ,0.1,94,22,3.4,95,8,5stage
GaN ,0.15,2.4,18.5,1.1,56,0.6,Singlestage
GaN ,0.1,65,16,3.5,null,20,3stage
GaN,0.15,25,17,2.2,140,10,3stage
GaN ,0.25,2.75,15,2,115,4.5,null
GaN ,0.15,12,15,1.2,180,12,Distributed
GaN ,0.15,30,21,2,80,4,3stage
GaN ,0.25,2.4,17,1.1,50,null,Singlestage
GaN ,0.05,140,12,6.5,60,20,2stage
GaN ,0.15,10,20,1.3,100,1.5,2stage
GaN,0.15,26,18,2,110,4,3stage
GaN ,0.2,2.5,16,1.5,80,3,null
GaN ,0.15,37.5,15,2.6,88,5,3stage
GaN ,0.1,100,13,5.25,105,30,3stage
GaN ,0.15,24,16,2.5,135,12,Distributed
GaAs ,0.13,29,18,2,100,10,3stage
GaAs ,0.1,11,16,2.5,220,18,Distributed
GaAs ,0.15,10,15,1.5,130,16,Distributed
GaAs ,0.1,48.5,14,2.8,95,7,3stage
InP ,0.07,100,18,3,70,20,4stage
GaAs ,0.13,6,24,0.7,45,1.5,2stage
GaAs ,0.1,18,20,1.2,60,3,3stage
GaAs ,0.15,35.75,12,3.3,110,8.5,3stage
