material,gLen_µm,freq_Ghz,gain_dB,noise_dB,bandwidth_GHz,lna_arch_3stage,lna_arch_3stageCS,lna_arch_4stage,lna_arch_5stage,lna_arch_6stage,lna_arch_Cascode,lna_arch_Distributed,lna_arch_Foldedcascode,lna_arch_PowerAmplifier,lna_arch_Singlestage,lna_arch_UWB,lna_arch_Unknown
0,0.15,38.0,15.0,2.5,4.0,True,False,False,False,False,False,False,False,False,False,False,False
0,0.1,6.0,23.0,0.8,4.0,True,False,False,False,False,False,False,False,False,False,False,False
0,0.15,0.9,24.0,0.45,8.0,False,False,False,False,False,False,False,False,False,False,False,True
0,0.15,12.0,12.5,1.8,12.0,False,False,False,False,False,False,True,False,False,False,False,False
0,0.15,3.75,17.0,1.5,0.9,False,False,False,False,False,False,False,False,False,False,False,True
0,0.1,15.0,26.0,0.9,1.0,False,False,True,False,False,False,False,False,False,False,False,False
0,0.25,1.25,25.5,0.6,8.0,False,False,False,False,False,False,False,False,False,False,False,False
0,0.15,5.0,15.0,1.5,6.0,False,False,False,False,False,False,False,False,False,False,False,False
0,0.13,7.0,12.0,2.5,10.0,False,False,False,False,False,False,True,False,False,False,False,False
0,0.1,20.0,12.0,1.8,4.0,False,False,False,False,False,False,False,False,False,False,False,False
0,0.1,30.0,10.0,2.2,4.0,False,False,False,False,False,False,False,False,False,False,False,False
0,0.15,40.0,8.0,3.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False
0,0.1,2.4,20.8,0.48,8.0,False,False,False,False,False,False,False,False,False,False,False,False
0,0.18,1.5,18.0,0.6,8.0,True,False,False,False,False,False,False,False,False,False,False,False
0,0.15,3.1,16.5,0.7,8.0,False,False,False,False,False,False,False,False,False,False,False,False
0,0.25,1.6,15.0,0.5,8.0,False,False,False,False,False,False,False,False,False,False,False,True
0,0.12,10.0,17.0,1.2,2.0,True,False,False,False,False,False,False,False,False,False,False,False
0,0.1,15.0,14.0,1.5,2.0,True,False,False,False,False,False,False,False,False,False,False,False
1,0.15,2.4,22.0,0.7,0.5,False,False,False,False,False,False,False,False,False,False,False,False
1,0.25,5.2,15.1,1.1,1.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.15,10.0,18.0,1.5,2.0,True,False,False,False,False,False,False,False,False,False,False,False
1,0.15,3.5,19.5,1.3,1.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.1,92.5,18.0,4.8,35.0,False,False,True,False,False,False,False,False,False,False,False,False
1,0.15,30.0,16.0,2.4,4.0,True,False,False,False,False,False,False,False,False,False,False,False
1,0.15,13.0,10.0,2.5,10.0,False,False,False,False,False,False,True,False,False,False,False,False
1,0.25,5.05,14.0,3.0,9.9,False,False,False,False,False,False,True,False,False,False,False,False
1,0.15,30.0,25.0,1.9,4.0,False,False,True,False,False,False,False,False,False,False,False,False
1,0.2,4.0,15.0,1.75,4.0,True,False,False,False,False,False,False,False,False,False,False,False
1,0.15,40.0,14.0,3.2,8.0,True,False,False,False,False,False,False,False,False,False,False,False
1,0.09,94.0,21.0,3.5,10.0,False,False,True,False,False,False,False,False,False,False,False,False
1,0.15,4.8,20.0,1.3,0.5,False,False,False,False,False,False,False,False,False,False,False,False
1,0.15,60.0,15.0,3.8,10.0,True,False,False,False,False,False,False,False,False,False,False,False
1,0.07,78.5,25.0,4.2,15.0,False,False,False,True,False,False,False,False,False,False,False,False
1,0.15,24.0,18.0,2.1,4.0,True,False,False,False,False,False,False,False,False,False,False,False
1,0.25,1.8,22.5,0.8,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.15,3.55,20.0,1.0,0.5,False,False,False,False,False,False,False,False,False,False,False,True
1,0.15,3.5,12.0,2.5,5.0,False,False,False,False,False,False,True,False,False,False,False,False
1,0.15,12.0,15.0,1.8,4.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.2,1.2,23.0,0.7,0.2,False,False,False,False,False,False,False,False,False,False,False,True
1,0.15,24.0,21.0,2.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False
1,0.1,90.0,18.0,4.0,15.0,False,False,True,False,False,False,False,False,False,False,False,False
1,0.15,2.1,17.0,1.6,3.4,False,False,False,False,False,False,False,False,False,False,False,True
